Code Ana;Analyte;Anonymat;Controle;Unite;Tech;App;Tri;Resultat;Effectif pairs;Cible pairs;ET pairs;Biais % pairs;Biais |c| pairs;z score pairs;Note pairs;Effectif ens;Cible ens;ET ens;Biais % ens;Biais |c| ens;z score ens;Note ens;Date;LA %;Opérateur
A3;Antithrombine activité;1952B;21HA19;%;S5;PB6;XX;105,2;14;90,8;4,9;15,9;14,4;2,8;+1;265;93,1;5,4;13,0;12,1;2,2;+1;01/12/2021;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;21HA20;%;S5;PB6;XX;40,4;14;37,9;2,7;6,6;2,5;0,9;TB;261;40,2;4,2;0,5;0,2;0,0;TB;01/12/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;21HA20;%;S5;PB6;XX;44,4;14;37,9;2,7;17,2;6,5;2,3;+1;261;40,2;4,2;10,4;4,2;1,0;B+;01/12/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;21HA97;%;S5;PB6;XX;111,1;14;93,9;4,3;18,3;17,2;3,8;+1;216;95,8;5,5;16,0;15,3;2,8;+1;06/10/2021;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;21HA98;%;S5;PB6;XX;92,4;13;89,4;3,0;3,4;3,0;0,9;TB;243;91,2;5,2;1,3;1,2;0,2;TB;17/02/2021;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;21HA98;%;S5;PB6;XX;91,6;13;89,4;3,0;2,5;2,2;0,7;TB;243;91,2;5,2;0,4;0,4;0,1;TB;17/02/2021;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;21HA99;%;S5;PB6;XX;36,6;13;35,8;1,7;2,2;0,8;0,4;TB;242;37,3;4,0;-1,9;-0,7;-0,2;TB;17/02/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;21HA99;%;S5;PB6;XX;36,1;13;35,8;1,7;0,8;0,3;0,2;TB;242;37,3;4,0;-3,2;-1,2;-0,3;TB;17/02/2021;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;22HA03;%;S5;PB6;XX;90,3;13;90,1;3,6;0,2;0,2;0,1;TB;266;93,7;5,4;-3,6;-3,4;-0,6;TB;02/03/2022;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;22HA03;%;S5;PB6;XX;95,1;13;90,1;3,6;5,5;5,0;1,3;B+;266;93,7;5,4;1,5;1,4;0,3;TB;02/03/2022;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;22HA04;%;S5;PB6;XX;37,6;13;37,7;2,3;-0,3;-0,1;0,0;TB;266;39,9;4,5;-5,8;-2,3;-0,5;TB;02/03/2022;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;22HA04;%;S5;PB6;XX;39,6;13;37,7;2,3;5,0;1,9;0,8;TB;266;39,9;4,5;-0,8;-0,3;-0,1;TB;02/03/2022;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;22HA07;%;S5;PB6;XX;71,9;13;68,4;3,7;5,1;3,5;0,9;TB;271;71,3;4,9;0,8;0,6;0,1;TB;04/05/2022;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;22HA07;%;S5;PB6;XX;70,7;13;68,4;3,7;3,4;2,3;0,6;TB;271;71,3;4,9;-0,8;-0,6;-0,1;TB;04/05/2022;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;22HA08;%;S5;PB6;XX;40,6;13;38,5;2,3;5,5;2,1;0,8;TB;269;39,7;4,6;2,3;0,9;0,2;TB;04/05/2022;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;22HA08;%;S5;PB6;XX;41;13;38,5;2,3;6,5;2,5;1,0;TB;269;39,7;4,6;3,3;1,3;0,3;TB;04/05/2022;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;22HA11;%;S5;PB6;XX;93,5;15;90,9;4,2;2,9;2,6;0,6;TB;272;92,7;5,2;0,9;0,8;0,2;TB;13/07/2022;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;22HA11;%;S5;PB6;XX;96,2;15;90,9;4,2;5,8;5,3;1,2;B+;272;92,7;5,2;3,8;3,5;0,7;TB;13/07/2022;10,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;22HA12;%;S5;PB6;XX;38,9;15;37,6;2,2;3,5;1,3;0,6;TB;271;39,8;4,8;-2,3;-0,9;-0,2;TB;13/07/2022;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952B;22HA12;%;S5;PB6;XX;40,8;15;37,6;2,2;8,5;3,2;1,4;B+;271;39,8;4,8;2,5;1,0;0,2;TB;13/07/2022;15,0;Marie BRIONNE-FRANCOIS
A3;Antithrombine activité;1952A;22HA15;%;S5;PB6;XX;65,4;15;69,0;4,3;-5,2;-3,6;-0,8;TB;274;71,5;4,6;-8,5;-6,1;-1,3;B-;05/10/2022;10,0;Marie BRIONNE-FRANCOIS
